pid_key;x;y;z;class;step
1:16.222:34.926:0.000;16.222454;34.92602;0;1;0
1:17.240:34.440:0.000;17.240385;34.440182;0;1;0
1:18.077:33.804:0.000;18.077453;33.803539;0;1;0
1:17.709:35.165:0.000;17.709143;35.165108;0;1;0
1:35.000:10.000:0.000;35;10;0;1;0
1:34.081:9.992:0.000;34.081492;9.991704;0;1;0
1:33.140:9.801:0.000;33.140146;9.800667;0;1;0
1:32.286:9.349:0.000;32.285716;9.348883;0;1;0
1:31.550:8.792:0.000;31.550193;8.791632;0;1;0
1:30.804:8.265:0.000;30.804424;8.26512;0;1;0
1:29.923:7.895:0.000;29.922745;7.895081;0;1;0
1:28.956:7.781:0.000;28.955828;7.780757;0;1;0
1:28.031:7.793:0.000;28.030605;7.792606;0;1;0
1:27.126:7.744:0.000;27.125678;7.74357;0;1;0
1:26.213:7.467:0.000;26.212731;7.467333;0;1;0
1:25.382:6.945:0.000;25.381701;6.945348;0;1;0
1:24.649:6.379:0.000;24.649233;6.378936;0;1;0
1:23.814:5.868:0.000;23.814388;5.868395;0;1;0
1:22.896:5.608:0.000;22.896254;5.607721;0;1;0
1:21.988:5.567:0.000;21.988435;5.567358;0;1;0
1:21.064:5.577:0.000;21.063878;5.577209;0;1;0
1:20.101:5.450:0.000;20.101232;5.450072;0;1;0
2:9.138:22.069:0.836;9.137931;22.068966;0.836148;2;0
2:2.917:5.208:0.841;2.916667;5.208333;0.840929;2;0
2:5.690:20.345:0.844;5.689655;20.344828;0.844215;2;0
2:2.083:7.292:0.845;2.083333;7.291667;0.845464;2;0
2:13.621:24.310:0.851;13.62069;24.310345;0.850866;2;0
2:1.000:10.000:0.852;1;10;0.852345;2;0
2:1.333:9.167:0.860;1.333333;9.166667;0.860036;2;0
2:11.207:23.103:0.866;11.206897;23.103448;0.865521;2;0
2:10.517:22.759:0.868;10.517241;22.758621;0.867551;2;0
2:12.586:23.793:0.899;12.586207;23.793103;0.899335;2;0
2:2.417:6.458:0.911;2.416667;6.458333;0.91135;2;0
2:8.103:21.552:0.923;8.103448;21.551724;0.923103;2;0
2:7.069:21.034:0.957;7.068966;21.034483;0.957245;2;0
2:15.000:25.000:0.990;15;25;0.98958;2;0
2:23.810:11.667:1.124;23.809524;11.666667;1.124133;2;0
2:29.071:14.500:1.139;29.071429;14.5;1.139377;2;0
2:26.286:13.000:1.194;26.285714;13;1.193786;2;0
2:19.167:9.167:1.204;19.166667;9.166667;1.203789;2;0
2:23.190:11.333:1.210;23.190476;11.333333;1.210179;2;0
2:29.690:14.833:1.259;29.690476;14.833333;1.258816;2;0
2:19.786:9.500:1.267;19.785714;9.5;1.266826;2;0
2:22.571:11.000:1.307;22.571429;11;1.306745;2;0
2:21.333:10.333:1.322;21.333333;10.333333;1.322368;2;0
2:17.929:8.500:1.331;17.928571;8.5;1.331116;2;0
2:20.405:9.833:1.403;20.404762;9.833333;1.403472;2;0
2:25.357:12.500:1.418;25.357143;12.5;1.417617;2;0
2:26.905:13.333:1.426;26.904762;13.333333;1.425534;2;0
2:28.143:14.000:1.479;28.142857;14;1.479143;2;0
2:24.429:12.000:1.551;24.428571;12;1.551463;2;0
2:17.000:8.000:1.563;17;8;1.563291;2;0
2:13.545:5.455:1.805;13.545455;5.454545;1.805146;2;0
2:13.045:5.955:1.811;13.045455;5.954545;1.810632;2;0
2:26.000:5.000:1.823;26;5;1.823123;2;0
2:32.300:6.400:1.827;32.3;6.4;1.826608;2;0
2:29.600:5.800:1.850;29.6;5.8;1.850051;2;0
2:30.950:6.100:1.858;30.95;6.1;1.857514;2;0
2:35.000:7.000:1.876;35;7;1.876036;2;0
2:27.800:5.400:1.925;27.8;5.4;1.924515;2;0
2:26.900:5.200:1.969;26.9;5.2;1.968846;2;0
3:25.000:20.000:-1.400;25;20;-1.4;3;0
3:18.000:23.000:-1.384;18;23;-1.384;3;0
3:7.000:7.000:-1.160;7;7;-1.16;3;0
3:9.000:7.000:0.000;9;7;0;3;0
3:8.578:8.228:0.000;8.578281;8.228425;0;3;0
3:7.491:8.939:0.000;7.490971;8.938801;0;3;0
3:6.197:8.832:0.000;6.196609;8.831547;0;3;0
3:5.241:7.952:0.000;5.241052;7.951895;0;3;0
3:5.027:6.671:0.000;5.027277;6.670811;0;3;0
3:5.645:5.529:0.000;5.645437;5.528552;0;3;0
3:6.835:5.007:0.000;6.834841;5.006831;0;3;0
3:8.094:5.326:0.000;8.093896;5.325667;0;3;0
3:8.892:6.351:0.000;8.891634;6.350601;0;3;0
3:26.500:20.000:0.000;26.5;20;0;3;0
3:26.184:20.921:0.000;26.183711;20.921319;0;3;0
3:25.368:21.454:0.000;25.368228;21.4541;0;3;0
3:24.397:21.374:0.000;24.397457;21.37366;0;3;0
3:23.681:20.714:0.000;23.680789;20.713921;0;3;0
3:23.520:19.753:0.000;23.520458;19.753108;0;3;0
3:23.984:18.896:0.000;23.984078;18.896414;0;3;0
3:24.876:18.505:0.000;24.876131;18.505123;0;3;0
3:25.820:18.744:0.000;25.820422;18.74425;0;3;0
3:26.419:19.513:0.000;26.418726;19.512951;0;3;0
3:20.500:23.000:0.000;20.5;23;0;3;0
3:20.365:23.812:0.000;20.364543;23.811749;0;3;0
3:19.973:24.536:0.000;19.972851;24.535532;0;3;0
3:19.367:25.093:0.000;19.36737;25.092916;0;3;0
3:18.614:25.424:0.000;18.613714;25.423501;0;3;0
3:17.794:25.491:0.000;17.793552;25.491461;0;3;0
3:16.996:25.289:0.000;16.995761;25.289433;0;3;0
3:16.307:24.839:0.000;16.306796;24.83931;0;3;0
3:15.801:24.190:0.000;15.801316;24.189868;0;3;0
3:15.534:23.411:0.000;15.534097;23.411486;0;3;0
3:15.534:22.589:0.000;15.534097;22.588514;0;3;0
3:15.801:21.810:0.000;15.801316;21.810132;0;3;0
3:16.307:21.161:0.000;16.306796;21.16069;0;3;0
3:16.996:20.711:0.000;16.995761;20.710567;0;3;0
3:17.794:20.509:0.000;17.793552;20.508539;0;3;0
3:18.614:20.576:0.000;18.613714;20.576499;0;3;0
3:19.367:20.907:0.000;19.36737;20.907084;0;3;0
3:19.973:21.464:0.000;19.972851;21.464468;0;3;0
3:20.365:22.188:0.000;20.364543;22.188251;0;3;0
4:17.750:15.000:-0.441;17.75;15;-0.441436;4;0
4:17.062:17.062:-0.393;17.062395;17.062395;-0.393006;4;0
4:16.458:12.474:-0.372;16.458333;12.474093;-0.371585;4;0
4:17.454:16.417:-0.352;17.453739;16.416667;-0.351695;4;0
4:13.124:16.083:-0.231;13.123612;16.083333;-0.230632;4;0
4:17.121:12.879:-0.142;17.12132;12.87868;-0.141511;4;0
4:15.755:12.183:0.030;15.754889;12.182716;0.029949;4;0
4:12.763:13.708:0.094;12.762768;13.708333;0.093757;4;0
4:16.458:17.526:0.109;16.458333;17.525907;0.108818;4;0
4:17.454:13.583:0.133;17.453739;13.583333;0.132707;4;0
4:14.417:14.583:0.165;14.416667;14.583333;0.165016;4;0
4:13.667:12.691:0.184;13.666667;12.690599;0.183811;4;0
4:15.647:17.415:0.264;15.647048;17.414815;0.264024;4;0
4:12.938:17.062:0.337;12.937605;17.062395;0.336964;4;0
4:13.500:17.598:0.350;13.5;17.598076;0.350357;4;0
4:12.000:15.000:0.411;12;15;0.410656;4;0
4:17.817:14.245:0.413;17.817284;14.245111;0.413468;4;0
4:14.525:13.229:0.440;14.525498;13.229136;0.439819;4;0
4:15.000:12.167:0.471;15;12.166667;0.470883;4;0
4:16.417:15.000:0.624;16.416667;15;0.624005;4;0
4:15.000:16.000:0.665;15;16;0.665085;4;0
4:14.224:17.898:0.808;14.223543;17.897777;0.808471;4;0
4:15.583:14.333:0.899;15.583333;14.333333;0.898912;4;0
4:13.990:15.583:1.155;13.989637;15.583333;1.154557;4;0
4:3.690:30.489:2.025;3.690279;30.488501;2.025056;4;0
4:7.000:32.000:2.108;7;32;2.108318;4;0
4:3.317:33.081:2.191;3.317493;33.081282;2.190782;4;0
4:5.268:30.137:2.206;5.267811;30.137336;2.206497;4;0
4:4.715:33.980:2.212;4.71537;33.979643;2.212344;4;0
4:5.831:33.819:2.235;5.83083;33.819264;2.235254;4;0
4:3.081:31.437:2.251;3.081014;31.436535;2.250954;4;0
4:28.450:31.874:2.475;28.449785;31.873888;2.474575;4;0
4:27.520:29.687:2.593;27.519713;29.686667;2.592702;4;0
4:32.092:30.537:2.614;32.09214;30.53717;2.614283;4;0
4:28.406:28.074:2.674;28.40644;28.073717;2.674424;4;0
4:29.532:32.456:2.724;29.531547;32.455718;2.724441;4;0
4:30.773:32.378:2.747;30.772542;32.377641;2.747335;4;0
4:31.624:31.525:2.749;31.624142;31.525171;2.749418;4;0
4:29.557:27.678:2.835;29.557031;27.677873;2.835478;4;0
4:30.752:27.687:2.836;30.751529;27.687031;2.836418;4;0
4:32.012:28.894:2.874;32.012;28.893894;2.873945;4;0
-1:1.000:10.000:0.883;1;10;0.883003;-1;0
-1:1.345:9.138:0.937;1.344828;9.137931;0.936823;-1;0
-1:1.690:8.276:0.936;1.689655;8.275862;0.93577;-1;0
-1:2.034:7.414:0.964;2.034483;7.413793;0.964213;-1;0
-1:2.379:6.552:0.986;2.37931;6.551724;0.986381;-1;0
-1:2.724:5.690:0.972;2.724138;5.689655;0.971977;-1;0
-1:17.000:8.000:1.431;17;8;1.431128;-1;0
-1:17.796:8.429:1.434;17.795918;8.428571;1.433792;-1;0
-1:18.592:8.857:1.417;18.591837;8.857143;1.417088;-1;0
-1:19.388:9.286:1.363;19.387755;9.285714;1.363019;-1;0
-1:20.184:9.714:1.396;20.183673;9.714286;1.395564;-1;0
-1:20.980:10.143:1.288;20.979592;10.142857;1.288226;-1;0
-1:21.776:10.571:1.569;21.77551;10.571429;1.568643;-1;0
-1:22.571:11.000:1.566;22.571429;11;1.565958;-1;0
-1:23.367:11.429:1.288;23.367347;11.428571;1.288245;-1;0
-1:24.163:11.857:1.432;24.163265;11.857143;1.431796;-1;0
-1:24.959:12.286:1.503;24.959184;12.285714;1.502692;-1;0
-1:25.755:12.714:1.359;25.755102;12.714286;1.359372;-1;0
-1:26.551:13.143:1.321;26.55102;13.142857;1.32065;-1;0
-1:27.347:13.571:1.329;27.346939;13.571429;1.329037;-1;0
-1:28.143:14.000:1.355;28.142857;14;1.354884;-1;0
-1:28.939:14.429:1.567;28.938776;14.428571;1.567331;-1;0
-1:29.735:14.857:1.580;29.734694;14.857143;1.580383;-1;0
-1:5.000:20.000:0.872;5;20;0.872205;-1;0
-1:6.034:20.517:0.939;6.034483;20.517241;0.938559;-1;0
-1:7.069:21.034:0.892;7.068966;21.034483;0.891787;-1;0
-1:8.103:21.552:0.926;8.103448;21.551724;0.926343;-1;0
-1:9.138:22.069:0.923;9.137931;22.068966;0.923441;-1;0
-1:10.172:22.586:1.014;10.172414;22.586207;1.014108;-1;0
-1:11.207:23.103:0.909;11.206897;23.103448;0.908944;-1;0
-1:12.241:23.621:0.977;12.241379;23.62069;0.97709;-1;0
-1:13.276:24.138:0.883;13.275862;24.137931;0.883338;-1;0
-1:14.310:24.655:0.899;14.310345;24.655172;0.899349;-1;0
-1:35.000:7.000:1.881;35;7;1.881474;-1;0
-1:34.053:6.789:1.995;34.052632;6.789474;1.994584;-1;0
-1:33.105:6.579:1.931;33.105263;6.578947;1.931116;-1;0
-1:32.158:6.368:1.961;32.157895;6.368421;1.960671;-1;0
-1:31.211:6.158:1.864;31.210526;6.157895;1.863522;-1;0
-1:30.263:5.947:1.855;30.263158;5.947368;1.855195;-1;0
-1:29.316:5.737:1.911;29.315789;5.736842;1.911239;-1;0
-1:28.368:5.526:1.867;28.368421;5.526316;1.867208;-1;0
-1:27.421:5.316:1.880;27.421053;5.315789;1.880272;-1;0
-1:26.474:5.105:1.960;26.473684;5.105263;1.96008;-1;0
-1:13.000:6.000:1.962;13;6;1.961996;-1;0
-1:13.684:5.316:1.948;13.684211;5.315789;1.948339;-1;0
-1:16.000:15.000:0.833;16;15;0.832532;-1;0
-1:14.052:15.319:0.910;14.052347;15.319302;0.909707;-1;0
-1:15.796:14.395:0.988;15.796093;14.394826;0.988136;-1;0
-1:14.604:15.993:0.948;14.604335;15.993044;0.947565;-1;0
-1:15.058:13.933:0.760;15.057873;13.932602;0.7605;-1;0
-1:15.533:16.005:1.065;15.533017;16.005376;1.064774;-1;0
-1:14.174:14.217:0.785;14.173867;14.217445;0.78469;-1;0
-1:16.179:15.259:0.750;16.17868;15.259447;0.749847;-1;0
-1:13.800:15.130:0.940;13.800178;15.130488;0.940028;-1;0
-1:16.095:14.493:0.897;16.09535;14.493237;0.89656;-1;0
-1:14.284:16.056:0.955;14.284003;16.056017;0.954813;-1;0
-1:15.341:13.771:0.880;15.341329;13.770643;0.87972;-1;0
-1:15.360:16.296:0.886;15.359779;16.295809;0.885852;-1;0
-1:14.245:13.887:0.809;14.2453;13.886901;0.808521;-1;0
-1:16.283:15.594:0.796;16.283124;15.593636;0.796382;-1;0
-1:13.594:14.847:0.852;13.594495;14.847142;0.852194;-1;0
-1:16.381:14.696:0.778;16.380739;14.696076;0.777851;-1;0
-1:13.924:16.020:0.843;13.923524;16.019692;0.842803;-1;0
-1:15.695:13.690:0.803;15.694537;13.689965;0.802584;-1;0
-1:15.084:16.549:0.654;15.084009;16.549448;0.653671;-1;0
-1:14.426:13.558:0.656;14.425648;13.558484;0.656311;-1;0
-1:16.290:15.981:0.654;16.29022;15.9808;0.653854;-1;0
-1:13.464:14.483:0.624;13.464148;14.482511;0.624227;-1;0
-1:16.621:15.000:0.725;16.62069;15;0.724533;-1;0
-1:13.552:15.871:0.543;13.552207;15.871108;0.543434;-1;0
-1:16.094:13.712:0.541;16.09386;13.712209;0.540979;-1;0
-1:14.715:16.735:0.729;14.715487;16.735454;0.729218;-1;0
-1:14.715:13.265:0.470;14.715487;13.264546;0.470439;-1;0
-1:16.183:16.393:0.653;16.183154;16.392917;0.653039;-1;0
-1:13.434:14.058:0.743;13.43402;14.057781;0.742679;-1;0
-1:16.897:15.000:0.576;16.896552;15;0.576491;-1;0
-1:13.203:15.606:0.521;13.202727;15.605572;0.521016;-1;0
-1:16.510:13.852:0.607;16.509832;13.852256;0.606567;-1;0
-1:14.272:16.826:0.402;14.272487;16.82592;0.401607;-1;0
-1:15.106:13.037:0.389;15.106411;13.037365;0.389134;-1;0
-1:15.953:16.797:0.528;15.952969;16.79749;0.527569;-1;0
-1:13.523:13.601:0.439;13.522975;13.600887;0.438693;-1;0
-1:17.054:15.452:0.255;17.054271;15.452179;0.254592;-1;0
-1:12.909:15.227:0.510;12.908882;15.227423;0.509802;-1;0
-1:16.909:14.117:0.416;16.909038;14.116785;0.415897;-1;0
-1:13.781:16.798:0.342;13.780869;16.798083;0.342406;-1;0
-1:15.581:12.907:0.366;15.581182;12.906771;0.365883;-1;0
-1:15.600:17.160:0.288;15.599632;17.159681;0.287795;-1;0
-1:13.742:13.145:0.449;13.742167;13.144835;0.449477;-1;0
-1:17.097:15.970:0.253;17.096812;15.970089;0.252539;-1;0
-1:12.703:14.750:0.426;12.703199;14.750208;0.425528;-1;0
-1:17.256:14.503:0.346;17.25633;14.503344;0.345973;-1;0
-1:13.273:16.636:0.374;13.272631;16.63625;0.374035;-1;0
-1:16.114:12.898:0.201;16.114489;12.897851;0.200998;-1;0
-1:15.133:17.445:0.261;15.132547;17.444685;0.260757;-1;0
-1:14.094:12.726:0.310;14.0938;12.725609;0.310323;-1;0
-1:17.004:16.523:0.273;17.003958;16.52337;0.272525;-1;0
-1:12.615:14.196:0.363;12.614528;14.196241;0.362798;-1;0
-1:17.517:15.000:0.245;17.517241;15;0.244937;-1;0
-1:12.784:16.333:0.235;12.78399;16.333329;0.234754;-1;0
-1:16.674:13.029:0.166;16.674275;13.028891;0.166202;-1;0
-1:14.570:17.620:0.195;14.570441;17.620195;0.19497;-1;0
-1:14.570:12.380:0.176;14.570441;12.379805;0.176272;-1;0
-1:16.764:17.076:0.115;16.76357;17.076235;0.115388;-1;0
-1:12.666:13.596:-0.050;12.665803;13.59556;-0.050149;-1;0
-1:17.793:15.000:0.220;17.793103;15;0.219979;-1;0
-1:12.353:15.892:0.068;12.353107;15.891842;0.067878;-1;0
-1:17.224:13.310:0.103;17.22357;13.309686;0.103256;-1;0
-1:13.941:17.659:0.058;13.940639;17.658795;0.058347;-1;0
-1:15.155:12.142:0.106;15.154949;12.142129;0.106404;-1;0
-1:16.373:17.590:0.047;16.372921;17.589604;0.046601;-1;0
-1:12.872:12.984:-0.089;12.872082;12.984329;-0.088999;-1;0
-1:17.930:15.645:0.062;17.929862;15.644911;0.061613;-1;0
-1:12.018:15.324:0.099;12.017586;15.324357;0.098614;-1;0
-1:17.723:13.740:0.044;17.722726;13.740333;0.043751;-1;0
-1:14.690:14.069:0.979;14.689655;14.068966;0.979493;-1;0
-1:14.621:14.138:0.900;14.62069;14.137931;0.900311;-1;0
-1:15.379:14.138:0.831;15.37931;14.137931;0.831415;-1;0
-1:15.034:14.207:1.047;15.034483;14.206897;1.047295;-1;0
-1:14.483:14.276:0.942;14.482759;14.275862;0.941747;-1;0
-1:15.241:14.276:1.053;15.241379;14.275862;1.053178;-1;0
-1:14.552:14.345:0.989;14.551724;14.344828;0.988676;-1;0
-1:15.310:14.345:1.029;15.310345;14.344828;1.029056;-1;0
-1:14.483:14.414:1.055;14.482759;14.413793;1.055188;-1;0
-1:15.241:14.414:0.997;15.241379;14.413793;0.99673;-1;0
-1:14.345:14.483:0.966;14.344828;14.482759;0.966208;-1;0
-1:15.103:14.483:0.936;15.103448;14.482759;0.93637;-1;0
-1:14.138:14.552:0.926;14.137931;14.551724;0.925764;-1;0
-1:14.897:14.552:0.652;14.896552;14.551724;0.651929;-1;0
-1:15.655:14.552:0.880;15.655172;14.551724;0.879706;-1;0
-1:14.621:14.621:0.793;14.62069;14.62069;0.792523;-1;0
-1:15.379:14.621:0.944;15.37931;14.62069;0.943899;-1;0
-1:14.276:14.690:0.862;14.275862;14.689655;0.862379;-1;0
-1:15.034:14.690:1.033;15.034483;14.689655;1.032863;-1;0
-1:15.793:14.690:0.929;15.793103;14.689655;0.929123;-1;0
-1:14.621:14.759:1.048;14.62069;14.758621;1.047739;-1;0
-1:15.379:14.759:0.880;15.37931;14.758621;0.879593;-1;0
-1:14.207:14.828:0.815;14.206897;14.827586;0.814784;-1;0
-1:14.966:14.828:0.982;14.965517;14.827586;0.982443;-1;0
-1:15.724:14.828:0.604;15.724138;14.827586;0.604438;-1;0
-1:14.552:14.897:0.867;14.551724;14.896552;0.867445;-1;0
-1:15.310:14.897:0.828;15.310345;14.896552;0.827539;-1;0
-1:14.138:14.966:0.881;14.137931;14.965517;0.880924;-1;0
-1:14.897:14.966:0.819;14.896552;14.965517;0.819051;-1;0
-1:15.655:14.966:0.932;15.655172;14.965517;0.93228;-1;0
-1:14.483:15.034:0.913;14.482759;15.034483;0.913235;-1;0
-1:15.241:15.034:0.773;15.241379;15.034483;0.773199;-1;0
-1:14.069:15.103:0.784;14.068966;15.103448;0.783517;-1;0
-1:14.828:15.103:1.036;14.827586;15.103448;1.036385;-1;0
-1:15.586:15.103:0.837;15.586207;15.103448;0.837163;-1;0
-1:14.414:15.172:0.973;14.413793;15.172414;0.972972;-1;0
-1:15.172:15.172:0.935;15.172414;15.172414;0.934573;-1;0
-1:15.931:15.172:0.761;15.931034;15.172414;0.761356;-1;0
-1:14.759:15.241:0.758;14.758621;15.241379;0.757824;-1;0
-1:15.517:15.241:0.832;15.517241;15.241379;0.832193;-1;0
-1:14.345:15.310:1.059;14.344828;15.310345;1.059045;-1;0
-1:15.103:15.310:0.901;15.103448;15.310345;0.900828;-1;0
-1:15.862:15.310:0.831;15.862069;15.310345;0.830586;-1;0
-1:14.759:15.379:1.080;14.758621;15.37931;1.079829;-1;0
-1:15.517:15.379:0.877;15.517241;15.37931;0.877258;-1;0
-1:14.483:15.448:0.987;14.482759;15.448276;0.987306;-1;0
-1:15.241:15.448:0.787;15.241379;15.448276;0.787205;-1;0
